CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,41110000,41310000,41510000,41190000,80110000,80210000,80410000,80420000,80490000,83510000,82310000,83310000,83220000,79910000,79970000,84120000,86610000
5370222.03,0222.03,537,Hamilton,B,35537,35,Ontario,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
5050007.02,0007.02,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1
5370032.00,0032.00,537,Hamilton,B,35537,35,Ontario,0,0,0,0,2,1,2,1,2,0,0,0,1,0,0,0,6
5350820.01,0820.01,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
5370086.00,0086.00,537,Hamilton,B,35537,35,Ontario,0,0,0,0,0,0,0,0,1,3,0,0,2,3,0,2,11
4620462.01,0462.01,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,2,4,0,3,2,0,0,3,0,1,0,4
4420011.00,0011.00,442,Trois-Rivières,B,24442,24,Quebec / Québec,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
5050610.02,0610.02,505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24505,24,Quebec / Québec,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,2
8250200.02,0200.02,825,Calgary,B,48825,48,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9330100.01,0100.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,4,0,2,0,3,5,0,0,0,0,0,0,6
4500012.00,0012.00,450,Granby,K,24450,24,Quebec / Québec,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
8250022.00,0022.00,825,Calgary,B,48825,48,Alberta,0,0,0,0,8,14,3,2,14,2,1,0,3,4,0,5,5
5350500.02,0500.02,535,Toronto,B,35535,35,Ontario,0,0,0,3,1,1,0,1,1,0,0,0,2,2,1,3,5
5350412.14,0412.14,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,2,1,2,1,1,0,0,2,1,0,0,0
0010003.02,0003.02,001,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,0,0,0,1,6,4,1,0,2,2,0,0,0,1,0,1,3
7250104.00,0104.00,725,Saskatoon,B,47725,47,Saskatchewan,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
9330142.02,0142.02,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,8
6020595.01,0595.01,602,Winnipeg,B,46602,46,Manitoba,0,0,0,1,0,1,1,0,3,2,1,0,0,1,0,1,10
3050001.00,0001.00,305,Moncton,B,13305,13,New Brunswick / Nouveau-Brunswick,1,0,0,14,53,17,0,9,30,14,2,3,29,10,2,4,19
8350163.05,0163.05,835,Edmonton,B,48835,48,Alberta,0,0,0,0,10,5,0,1,1,1,0,0,0,1,0,0,2
8250052.02,0052.02,825,Calgary,B,48825,48,Alberta,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0,8
4620881.02,0881.02,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,2
5350366.00,0366.00,535,Toronto,B,35535,35,Ontario,0,0,0,0,2,9,2,4,0,1,0,0,1,1,0,0,5
8350120.01,0120.01,835,Edmonton,B,48835,48,Alberta,3,0,0,2,40,20,11,21,18,5,1,0,11,5,3,2,12
9300010.00,0010.00,930,Chilliwack,K,59930,59,British Columbia / Colombie-Britannique,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0
8250038.07,0038.07,825,Calgary,B,48825,48,Alberta,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,3
9330282.02,0282.02,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,5,8,1,1,5,1,0,0,1,1,0,1,3
4620034.00,0034.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
5050127.00,0127.00,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9250002.00,0002.00,925,Kamloops,K,59925,59,British Columbia / Colombie-Britannique,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
5410001.01,0001.01,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,0,0,0,0,0,7,3,0,3,1,1,0,1,2,0,1,6
5350363.05,0363.05,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9300016.00,0016.00,930,Chilliwack,K,59930,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2
4620450.00,0450.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,1,1,3,4,2,13,3,0,0,2,4,1,1,8
4620258.00,0258.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,3
8350005.08,0005.08,835,Edmonton,B,48835,48,Alberta,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2
5390018.02,0018.02,539,St. Catharines - Niagara,B,35539,35,Ontario,0,0,0,0,1,8,0,2,1,2,0,0,1,2,0,0,8
5050160.03,0160.03,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,1,0,0,2,5,27,3,5,9,3,0,0,2,3,0,0,6
8250050.14,0050.14,825,Calgary,B,48825,48,Alberta,0,0,0,0,2,3,2,0,1,0,0,0,2,1,0,0,0
5680004.03,0004.03,568,Barrie,B,35568,35,Ontario,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4
4210023.00,0023.00,421,Québec,B,24421,24,Quebec / Québec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5050125.05,0125.05,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,4,7,1,4,4,2,0,0,3,0,0,0,5
9330027.01,0027.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,2,6,1,0,3,3,0,0,1,1,0,0,3
6020141.02,0141.02,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,3,7,3,0,2,1,0,0,3,1,0,0,5
8350014.00,0014.00,835,Edmonton,B,48835,48,Alberta,0,0,0,0,1,0,0,0,2,3,0,0,2,3,0,0,16
5320007.00,0007.00,532,Oshawa,B,35532,35,Ontario,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,7
5050056.00,0056.00,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,9,0,1,0,4,1,0,0,5,1,0,0,8
4620675.00,0675.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,8,0,0,6,2,0,0,1,3,0,0,3
9330149.05,0149.05,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4620282.00,0282.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,20,17,0,9,5,1,0,0,1,0,0,0,3
8350075.02,0075.02,835,Edmonton,B,48835,48,Alberta,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,8
9350111.02,0111.02,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,0,0,0,0,2,0,0,0,0,1,0,0,0,1,3,0,6
4620880.00,0880.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,6
5350171.00,0171.00,535,Toronto,B,35535,35,Ontario,0,0,0,1,1,5,0,0,2,1,0,1,1,0,0,0,4
